tweet_id,tweet_text,polarity
61,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…",positive
62,"RT @DrShaziaKhan01: Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as National Unemployment Day!…",positive
63,"RT @Priya4423: In India, the ModiGovernment failed to provide dignified jobs to the youth of the state. Now youth of India is raising their…",neutral
64,RT @ANI: Chief of Defence Staff General Bipin Rawat performs 'puja' ahead of the inauguration of Defence Offices Complexes at Delhi's Kastu…,positive
65,"RT @saljokS1: #FreedomForKashmir
After stripping the Kashmiris of their limited autonomy, the Narendra Modi government is now trying to alt…",negative
66,"RT @SRlalaland: #FreedomForKashmir 
@SRlalaland 
@WeAreVOIK 

The state has been under lockdown. The Narendra Modi government imposed a swe…",negative
67,"RT @DrShaziaKhan01: Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as National Unemployment Day!…",positive
68,RT @syedkhalid4488: Submitted Memorandum  to Sri Narendra Modi Through Davangere DC at DC Office and Demanded to Fullfill His Promises Made…,negative
69,"RT @Jaspree72749562: #Conference @YogAayog_HRY organises Two days Hybrid conference with Govt. College of Yoga Education and Health, Chandi…",neutral
70,RT @Karan_Singhs: Breaking: India's top science agency tailored its Covid-19 findings to fit Prime Minister Narendra Modi's narrative on th…,neutral
71,"RT @ANI: #WATCH | ""People who were after Central Vista Project would be conveniently quiet on this, which is also part of Centra Vista... T…",positive
72,"RT @DrShaziaKhan01: Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as National Unemployment Day!…",positive
73,"RT @ANI: #WATCH | ""People who were after Central Vista Project would be conveniently quiet on this, which is also part of Centra Vista... T…",positive
74,"RT @DrShaziaKhan01: Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as National Unemployment Day!…",positive
75,"RT @saljokS1: #FreedomForKashmir
After stripping the Kashmiris of their limited autonomy, the Narendra Modi government is now trying to alt…",negative
76,"RT @saljokS1: #FreedomForKashmir
After stripping the Kashmiris of their limited autonomy, the Narendra Modi government is now trying to alt…",negative
77,"RT @Anurag_Office: I get motivation from you all: PM Narendra Modi to India's Tokyo 2020 Paralympians
https://t.co/qvnNzGKHGj

via NaMo App…",neutral
78,RT @saraajyoti: On the occasion of Prime minister Shri Narendra Modi Ji @YogAayog_HRY organises  conference for Management of post COVID-19…,neutral
79,"RT @Pak_Army_313: #FreedomForKashmir 
India flooded the Kashmir valley with troops, restricted movements and cut off communication as Prime…",neutral
80,"RT @timesofindia: Bihar man refuses to return money mistakenly sent by bank, held 

""I thought the money had been sent by PM Narendra Modi…",negative
81,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…",positive
82,"#FreedomForKashmir
After stripping the Kashmiris of their limited autonomy, the Narendra Modi government is now try… https://t.co/5fpVJFKmeF",negative
83,"@BJP4Assam

Democracy is not just constitutional structure but a spirit, it's 'jeevan dhara': PM Narendra Modi at S… https://t.co/Anb8HFDIpo",positive
84,RT @byadavbjp: The 63rd Foundation Day of Dattopant Thengadi National Board for Workers Education and Development is being celebrated as #W…,neutral
85,RT @ANI: Chief of Defence Staff General Bipin Rawat performs 'puja' ahead of the inauguration of Defence Offices Complexes at Delhi's Kastu…,positive
86,"RT @ANI: #WATCH | ""People who were after Central Vista Project would be conveniently quiet on this, which is also part of Centra Vista... T…",positive
87,"RT @prem_pareek1985: PM to inaugurate the Defence Offices Complexes at Kasturba Gandhi Marg and Africa Avenue on 16 September
https://t.co/…",positive
88,"RT @Pak_Army_313: #FreedomForKashmir 
Narendra Modi government imposed a sweeping communications blackout and a curfew that was so draconia…",negative
89,RT @jdhankhar1: There will be tree plantation on Sept 17 at 5.40 am by WB Governor Shri Jagdeep Dhankhar and Smt. Sudesh Dhankhar at Raj Bh…,positive
90,RT @jdhankhar1: There will be tree plantation on Sept 17 at 5.40 am by WB Governor Shri Jagdeep Dhankhar and Smt. Sudesh Dhankhar at Raj Bh…,positive
91,"RT @DrShaziaKhan01: Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as National Unemployment Day!…",positive
92,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…",positive
93,"Democracy is not just constitutional structure but a spirit, it's 'jeevan dhara': PM Narendra Modi at Sansad TV lau… https://t.co/ugEJGc3Y0D",positive
94,"RT @Ananth_Krishna_: Narendra Modi's TIME 100 profile says he has ""eroded the rights of the Muslim Minorities"" and ""intimidated and impriso…",neutral
95,"RT @SRlalaland: #FreedomForKashmir 
@SRlalaland 
@WeAreVOIK 

The state has been under lockdown. The Narendra Modi government imposed a swe…",negative
96,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…",positive
97,"RT @Sajjad_642: #FreedomForKashmir
Prime Minister Imran said he couldn't initially understand why Indian Prime Minister Narendra Modi did n…",negative
98,"RT @narendramodi: Have been getting several interesting inputs for this month’s #MannKiBaat, which will take place on the 26th. Keep sharin…",positive
99,"RT @itx__falcon: #FreedomForKashmir

In connection with Pakistan Day celebrations, an unusual and unexpected letter couched in diplomatic l…",negative
100,"RT @DrShaziaKhan01: Tomorrow, we all unemployed youth will celebrate Prime Minister Narendra Modi's birthday as National Unemployment Day!…",positive
